environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
137,0.0483226,0.133466,0.493847,1.21933,1.72043,1.96358,2.13034,2.28011,2.42639,0.0260154,0.0151057,0.00407691
138,0.0477181,0.132793,0.492613,1.21542,1.71707,1.96251,2.13049,2.28078,2.4273,0.0257318,0.01499,0.00407191
139,0.0471824,0.132198,0.491435,1.21193,1.71442,1.9621,2.13106,2.28174,2.42849,0.0254745,0.0148779,0.00406614
140,0.046707,0.131671,0.490309,1.20882,1.71238,1.96215,2.13182,2.28276,2.42966,0.025241,0.0147694,0.00405969
141,0.0462842,0.131202,0.489233,1.20605,1.7109,1.96247,2.13258,2.28365,2.43066,0.0250289,0.0146643,0.00405266
142,0.0459074,0.130784,0.488203,1.20359,1.70988,1.96292,2.13324,2.28436,2.43141,0.0248361,0.0145629,0.00404513
143,0.045571,0.130409,0.487218,1.20142,1.70924,1.96338,2.13377,2.28487,2.43192,0.0246607,0.0144649,0.00403718
144,0.0452699,0.130073,0.486276,1.1995,1.7089,1.96379,2.13414,2.2852,2.43224,0.024501,0.0143702,0.00402887
145,0.0449998,0.129769,0.485376,1.19781,1.70877,1.96413,2.13439,2.2854,2.43242,0.0243553,0.014279,0.00402026
146,0.0447569,0.129494,0.484517,1.19632,1.70879,1.96438,2.13454,2.28551,2.43252,0.0242224,0.014191,0.0040114
147,0.0445379,0.129244,0.483697,1.19503,1.70889,1.96455,2.13463,2.28557,2.43257,0.024101,0.0141061,0.00400233
148,0.0443399,0.129015,0.482917,1.19389,1.70903,1.96466,2.13468,2.28559,2.43259,0.0239898,0.0140243,0.00399311
149,0.0441603,0.128806,0.482174,1.19291,1.70918,1.96473,2.1347,2.28561,2.4326,0.023888,0.0139454,0.00398376
150,0.043997,0.128613,0.481469,1.19205,1.70931,1.96477,2.13471,2.28561,2.4326,0.0237945,0.0138694,0.00397431
151,0.043848,0.128434,0.480799,1.19132,1.70942,1.96479,2.13471,2.28561,2.4326,0.0237086,0.0137962,0.0039648
152,0.0437117,0.128268,0.480164,1.19069,1.70951,1.9648,2.13472,2.28561,2.4326,0.0236295,0.0137256,0.00395525
153,0.0435864,0.128114,0.479563,1.19015,1.70957,1.9648,2.13472,2.28561,2.4326,0.0235565,0.0136575,0.00394569
154,0.043471,0.127969,0.478994,1.1897,1.70962,1.96481,2.13472,2.28561,2.4326,0.0234891,0.0135919,0.00393613
155,0.0433642,0.127833,0.478457,1.18932,1.70964,1.96481,2.13471,2.28561,2.4326,0.0234266,0.0135286,0.00392658
156,0.0432651,0.127704,0.47795,1.189,1.70966,1.96481,2.13472,2.28561,2.4326,0.0233687,0.0134675,0.00391707
157,0.0431728,0.127582,0.477472,1.18875,1.70967,1.96481,2.13472,2.28561,2.4326,0.0233148,0.0134086,0.00390761
158,0.0430865,0.127466,0.477022,1.18854,1.70967,1.9648,2.13471,2.28561,2.43259,0.0232646,0.0133517,0.00389821
159,0.0430056,0.127356,0.476599,1.18837,1.70968,1.9648,2.13471,2.28561,2.43259,0.0232177,0.0132968,0.00388887
160,0.0429294,0.127249,0.476201,1.18825,1.70968,1.96481,2.13472,2.28562,2.43261,0.0231737,0.0132438,0.00387962
161,0.0428575,0.127147,0.475827,1.18815,1.70968,1.96481,2.13473,2.28562,2.43261,0.0231325,0.0131926,0.00387044
162,0.0427893,0.127049,0.475477,1.18808,1.70968,1.9648,2.13471,2.28561,2.4326,0.0230936,0.013143,0.00386136
163,0.0427244,0.126953,0.475148,1.18803,1.70968,1.9648,2.13471,2.28561,2.43259,0.023057,0.0130951,0.00385237
164,0.0426626,0.126861,0.47484,1.188,1.70968,1.96481,2.13473,2.28562,2.43261,0.0230223,0.0130488,0.00384348
165,0.0426034,0.126771,0.474551,1.18798,1.70968,1.96482,2.13473,2.28563,2.43261,0.0229895,0.0130039,0.0038347
166,0.0425466,0.126683,0.474282,1.18797,1.70968,1.96481,2.13472,2.28562,2.4326,0.0229582,0.0129605,0.00382602
167,0.042492,0.126597,0.474029,1.18796,1.70968,1.9648,2.13471,2.28561,2.4326,0.0229284,0.0129184,0.00381744
168,0.0424393,0.126512,0.473793,1.18796,1.70968,1.96481,2.13471,2.28561,2.4326,0.0228999,0.0128775,0.00380898
169,0.0423884,0.126429,0.473573,1.18796,1.70968,1.96481,2.13472,2.28562,2.43261,0.0228726,0.0128379,0.00380063
170,0.0423391,0.126347,0.473367,1.18797,1.70968,1.9648,2.13473,2.28563,2.43262,0.0228464,0.0127995,0.00379239
171,0.0422911,0.126267,0.473176,1.18797,1.70968,1.9648,2.13471,2.28561,2.4326,0.0228212,0.0127622,0.00378426
172,0.0422445,0.126187,0.472997,1.18798,1.70968,1.96481,2.13471,2.28561,2.43259,0.0227968,0.0127259,0.00377624
173,0.0421991,0.126108,0.47283,1.18798,1.70968,1.96482,2.13473,2.28562,2.43261,0.0227732,0.0126906,0.00376834
174,0.0421548,0.126029,0.472675,1.18798,1.70968,1.9648,2.13473,2.28563,2.43262,0.0227503,0.0126563,0.00376054
175,0.0421114,0.125951,0.47253,1.18798,1.70968,1.96479,2.13471,2.28561,2.43259,0.0227281,0.0126229,0.00375286
176,0.042069,0.125874,0.472395,1.18799,1.70968,1.96482,2.13471,2.2856,2.43259,0.0227065,0.0125904,0.00374528
177,0.0420274,0.125797,0.47227,1.18799,1.70968,1.96484,2.13474,2.28563,2.43261,0.0226854,0.0125587,0.00373782
178,0.0419865,0.12572,0.472153,1.18799,1.70968,1.9648,2.13474,2.28564,2.43263,0.0226648,0.0125278,0.00373046
179,0.0419464,0.125642,0.472045,1.18799,1.70968,1.9648,2.13473,2.28563,2.43262,0.0226446,0.0124977,0.00372321
